post_id,platform,post_type,day_of_week,hour_of_day,is_weekend,hashtag_count,caption_length,follower_count,likes,comments,shares,engagement_rate
P00043,twitter,image,Tue,20,0,17,392,53093,870,96,72,1.989
P00044,twitter,carousel,Wed,12,0,14,323,55745,557,73,95,1.24
P00045,instagram,carousel,Wed,21,0,2,138,189507,5677,1170,445,4.273
P00046,facebook,video,Wed,11,0,12,370,20633,490,37,69,3.266
P00047,facebook,image,Sun,15,1,17,195,82929,2163,253,150,3.211
P00048,instagram,carousel,Sat,7,1,2,240,88139,2641,299,415,3.939
P00049,instagram,image,Sat,15,1,16,44,49375,1229,106,251,3.535
P00050,twitter,image,Tue,7,0,2,88,157180,2494,428,393,1.879
P00051,instagram,image,Sun,14,1,17,211,97678,1954,395,236,2.768
P00052,facebook,carousel,Thu,18,0,15,112,144021,5432,568,515,4.857
P00053,linkedin,carousel,Fri,10,0,3,241,77709,2286,449,193,3.99
P00054,instagram,carousel,Fri,10,0,14,36,179405,6238,412,1057,4.29
P00055,facebook,carousel,Fri,7,0,2,104,146041,4420,802,315,3.707
P00056,twitter,video,Fri,17,0,11,267,66970,1701,299,253,3.344
P00057,facebook,video,Thu,14,0,18,246,192442,3711,332,403,2.414
P00058,instagram,image,Fri,12,0,4,393,173078,3773,496,675,2.606
P00059,instagram,image,Sun,0,1,3,360,118551,3111,491,382,3.192
P00060,twitter,carousel,Wed,2,0,8,325,3781,97,10,13,3.374
P00061,instagram,video,Thu,0,0,7,5,118433,4887,545,904,5.386
P00062,facebook,video,Tue,20,0,0,242,138323,4772,647,842,4.141
P00063,instagram,carousel,Wed,20,0,9,95,73284,2638,242,405,5.105
P00064,facebook,video,Sat,1,1,5,110,29206,902,79,166,4.39
P00065,twitter,video,Fri,1,0,2,87,113143,2606,267,405,3.151
P00066,facebook,video,Tue,18,0,5,185,160401,6487,977,730,4.907
P00067,twitter,image,Thu,12,0,0,53,64206,1741,209,134,3.751
P00068,instagram,image,Sat,7,1,18,215,91533,1387,188,227,2.04
P00069,facebook,video,Mon,14,0,19,70,717,19,2,3,3.33
P00070,linkedin,image,Mon,5,0,7,202,140919,3315,316,281,3.233
P00071,facebook,video,Wed,4,0,17,252,173286,3347,516,328,2.591
P00072,instagram,text,Fri,8,0,9,75,155382,3001,237,480,2.508
P00073,linkedin,image,Wed,21,0,18,45,86174,2096,333,185,3.313
P00074,instagram,image,Sat,18,1,3,323,9497,485,51,68,6.012
P00075,facebook,image,Sat,4,1,5,296,98671,1219,197,205,1.705
P00076,twitter,image,Thu,13,0,14,108,188114,5988,638,618,3.847
P00077,instagram,carousel,Wed,21,0,4,355,17158,423,74,42,3.202
P00078,instagram,video,Mon,22,0,16,92,43178,1660,128,201,5.345
P00079,instagram,carousel,Sat,18,1,8,371,167503,3831,744,459,3.186
P00080,instagram,carousel,Sun,3,1,8,49,113856,3804,377,543,4.311
P00081,instagram,video,Thu,5,0,9,265,34482,975,70,161,3.756
P00082,facebook,carousel,Thu,5,0,15,12,5339,71,10,13,1.801
P00083,instagram,image,Sat,3,1,0,82,82418,2476,213,156,3.56
P00084,facebook,image,Fri,4,0,15,164,119186,867,108,138,0.946
P00085,instagram,image,Mon,7,0,15,38,168132,3402,528,330,2.411
P00086,instagram,carousel,Fri,13,0,16,185,176816,4690,836,866,3.66
P00087,instagram,video,Sun,9,1,19,96,91827,3019,457,239,4.519
P00088,linkedin,image,Sat,10,1,15,44,84785,2359,442,314,3.525
P00089,facebook,video,Thu,5,0,10,384,186264,1684,219,239,1.221
P00090,instagram,image,Thu,3,0,9,392,155488,1019,76,116,0.901
P00091,linkedin,carousel,Tue,23,0,7,385,42258,1079,199,222,3.574
P00092,facebook,video,Fri,14,0,16,65,136413,3878,393,331,3.996
P00093,instagram,video,Tue,5,0,7,155,143188,5023,418,393,4.315
P00094,twitter,image,Wed,19,0,11,134,47164,1443,111,222,4.122
P00095,instagram,video,Tue,19,0,1,133,195610,9998,978,1198,6.036
P00096,instagram,video,Wed,23,0,6,169,59720,2041,232,214,4.698
P00097,facebook,image,Wed,3,0,5,206,110147,1108,118,118,1.336
P00098,instagram,image,Mon,15,0,8,196,98998,3263,472,283,4.358
P00099,instagram,text,Sat,23,1,10,120,138590,4096,661,723,3.813
P00100,linkedin,text,Thu,19,0,14,392,180380,1928,334,248,1.287
P00101,instagram,carousel,Sun,5,1,8,391,78948,1810,130,163,2.779
P00102,linkedin,image,Tue,21,0,3,135,77213,2105,195,268,3.887
P00103,twitter,text,Fri,10,0,10,92,150391,4662,667,861,4.072
P00104,facebook,carousel,Tue,11,0,1,215,190478,6235,452,1049,3.972
P00105,linkedin,carousel,Thu,13,0,16,150,181820,5906,735,480,4.64
P00106,linkedin,video,Thu,18,0,15,394,150675,3970,572,587,3.378
P00107,twitter,image,Thu,2,0,4,174,140759,2712,470,240,2.607
P00108,instagram,image,Fri,12,0,5,20,153861,4489,423,419,3.829
P00109,instagram,text,Sat,19,1,0,54,187217,4263,653,762,2.984
P00110,facebook,video,Wed,13,0,7,34,2622,114,17,21,5.723
P00111,facebook,image,Sat,6,1,0,156,117936,2236,365,156,2.274
P00112,instagram,image,Tue,1,0,18,130,7289,57,6,10,1.0
P00113,facebook,video,Wed,13,0,2,343,115638,3688,552,542,3.817
P00114,instagram,image,Wed,16,0,13,356,79246,2318,359,365,3.615
P00115,twitter,text,Sun,13,1,11,60,61273,1251,123,215,2.712
P00116,instagram,carousel,Mon,23,0,4,378,178252,5317,770,692,3.854
P00117,instagram,carousel,Wed,14,0,16,235,142070,3128,485,597,2.903
P00118,instagram,video,Wed,12,0,2,126,113699,4491,422,382,4.792
P00119,instagram,video,Sat,1,1,17,165,176449,2147,281,296,1.671
P00120,instagram,video,Thu,13,0,14,179,20031,843,94,82,5.01
P00121,instagram,video,Sun,4,1,12,72,129440,3916,634,658,3.844
P00122,instagram,image,Sat,17,1,17,347,31670,712,45,52,2.841
P00123,instagram,video,Fri,3,0,8,9,46991,1683,217,202,4.605
P00124,instagram,image,Sat,21,1,5,32,37438,1765,154,287,6.02
P00125,instagram,video,Tue,7,0,3,112,109049,3672,526,373,4.208
P00126,instagram,image,Thu,10,0,18,61,125994,3035,449,282,3.018
P00127,instagram,image,Fri,3,0,8,29,151309,4051,554,422,3.657
P00128,instagram,image,Tue,5,0,16,156,88404,1173,155,181,1.685
P00129,instagram,video,Mon,22,0,6,153,187902,8231,891,860,5.816
P00130,instagram,image,Mon,6,0,19,54,75028,1300,133,147,2.177
P00131,linkedin,text,Sat,12,1,17,325,31740,512,81,68,2.06
P00132,twitter,video,Fri,23,0,6,353,7784,203,18,40,3.591
P00133,twitter,image,Tue,14,0,9,289,25935,549,86,88,2.612
P00134,facebook,video,Sat,0,1,15,211,89301,2603,391,232,3.792
P00135,facebook,image,Fri,8,0,4,379,82882,1642,290,290,2.531
P00136,instagram,text,Sat,9,1,0,143,170918,4588,435,770,3.352
P00137,linkedin,video,Sun,6,1,5,173,25559,794,100,124,3.893
P00138,linkedin,carousel,Sun,5,1,11,10,52834,1464,97,183,3.412
P00139,linkedin,image,Tue,12,0,2,284,196095,3808,736,297,2.657
P00140,linkedin,video,Sat,9,1,6,41,6198,266,44,45,5.991
P00141,facebook,video,Wed,7,0,18,267,85148,1887,265,240,2.769
P00142,linkedin,text,Wed,9,0,1,314,40048,371,62,41,1.259
P00143,linkedin,video,Fri,8,0,1,90,106955,2690,294,191,3.507
P00144,instagram,video,Fri,5,0,8,246,194743,6189,949,629,4.416
P00145,twitter,image,Wed,10,0,0,124,45804,919,160,136,2.685
P00146,instagram,image,Sun,22,1,0,162,74388,2384,166,172,3.776
P00147,twitter,video,Tue,12,0,3,214,90100,3048,614,487,4.674
P00148,linkedin,video,Mon,14,0,2,103,159799,6540,1222,1159,5.495
P00149,instagram,image,Mon,23,0,16,319,196946,4197,733,410,2.543
P00150,facebook,carousel,Sat,14,1,2,160,19758,440,68,30,2.639
P00151,instagram,text,Wed,5,0,10,187,97993,2341,253,204,3.253
P00152,linkedin,image,Thu,9,0,14,326,150643,3363,437,347,2.683
P00153,linkedin,video,Fri,11,0,12,94,2260,94,8,17,5.752
P00154,facebook,image,Thu,11,0,13,183,161318,2805,432,391,2.136
P00155,linkedin,carousel,Fri,3,0,7,397,48884,1056,98,206,3.079
P00156,instagram,image,Mon,2,0,17,162,103920,885,159,174,1.12
P00157,instagram,carousel,Tue,8,0,1,50,195701,5476,550,522,3.796
P00158,facebook,carousel,Sun,21,1,2,117,127210,4071,334,604,3.973
P00159,instagram,carousel,Thu,17,0,17,382,197818,3781,307,520,2.721
P00160,facebook,image,Tue,20,0,1,304,120891,3860,607,498,4.148
P00161,instagram,text,Wed,4,0,3,324,42493,555,47,57,1.624
P00162,instagram,image,Wed,9,0,3,105,138678,3901,385,465,3.978
P00163,facebook,image,Tue,13,0,0,336,123245,3204,257,452,3.115
P00164,linkedin,video,Wed,10,0,2,160,62487,2210,236,328,4.689
P00165,instagram,video,Sat,10,1,11,318,15843,566,113,64,4.93
P00166,linkedin,carousel,Mon,8,0,13,352,129817,1781,239,150,1.87
P00167,facebook,carousel,Wed,1,0,1,87,115699,2950,299,424,3.396
P00168,instagram,image,Thu,20,0,18,375,154838,2295,211,390,2.031
P00169,facebook,text,Thu,22,0,1,254,25621,499,33,68,2.507
P00170,facebook,image,Sun,1,1,13,293,107979,481,52,30,0.56
P00171,instagram,video,Sun,9,1,16,303,163822,5141,410,526,4.102
P00172,facebook,image,Wed,12,0,10,71,178303,3810,263,638,2.797
P00173,instagram,text,Thu,18,0,9,299,187945,5155,380,784,3.356
P00174,instagram,image,Mon,23,0,2,89,42785,1666,183,114,5.224
P00175,facebook,image,Fri,9,0,4,112,35010,1274,201,156,4.585
P00176,facebook,video,Tue,17,0,17,51,115413,3469,236,390,3.604
P00177,linkedin,text,Mon,22,0,6,76,92811,2113,340,332,3.106
P00178,instagram,text,Fri,19,0,0,391,47249,702,99,55,1.875
P00179,twitter,carousel,Tue,6,0,14,134,20857,577,95,77,3.287
P00180,linkedin,text,Thu,19,0,13,157,29155,735,65,136,3.235
P00181,twitter,text,Mon,9,0,1,194,68158,396,61,41,0.687
P00182,linkedin,video,Sat,0,1,1,286,148028,4128,755,463,3.735
P00183,instagram,image,Sat,18,1,2,231,13487,526,99,35,4.97
P00184,facebook,carousel,Fri,20,0,1,216,21486,797,140,59,4.965
P00185,instagram,carousel,Sat,8,1,12,335,53277,1823,162,373,4.885
P00186,linkedin,video,Thu,10,0,2,200,174811,7649,1303,1328,5.15
P00187,facebook,image,Tue,8,0,12,308,198049,3467,619,238,2.378
P00188,instagram,carousel,Tue,2,0,3,364,88313,355,30,59,0.475
P00189,twitter,image,Tue,23,0,19,272,9398,90,7,8,1.196
P00190,instagram,text,Tue,0,0,14,18,2881,56,10,7,2.332
P00191,facebook,image,Wed,13,0,7,109,171864,5304,412,739,3.652
P00192,linkedin,image,Tue,0,0,8,249,89233,993,162,109,1.418
P00193,instagram,carousel,Fri,16,0,1,194,15951,553,59,67,4.076
P00194,facebook,image,Tue,21,0,1,117,166768,4805,721,665,3.535
P00195,linkedin,image,Fri,15,0,10,137,106034,4267,324,380,5.169
P00196,instagram,video,Wed,14,0,0,35,70276,3067,471,574,5.467
P00197,facebook,text,Fri,19,0,12,97,90697,1661,231,160,2.512
P00198,instagram,image,Thu,23,0,7,314,45401,905,181,66,2.842
P00199,facebook,image,Sun,20,1,2,9,186345,4386,409,858,3.187
P00200,instagram,carousel,Thu,5,0,10,335,157658,3833,305,465,3.177
P00201,twitter,text,Wed,13,0,11,139,40210,755,72,92,2.556
P00202,linkedin,video,Fri,19,0,14,324,147113,3692,275,369,3.229
P00203,instagram,image,Fri,7,0,3,106,36346,1332,247,88,4.587
P00204,instagram,image,Thu,16,0,10,332,90930,2439,190,234,3.36
P00205,facebook,image,Thu,0,0,16,230,149868,2624,221,281,2.1
P00206,linkedin,image,Thu,21,0,5,341,7756,239,37,29,3.646
P00207,facebook,carousel,Wed,14,0,16,29,145281,4624,414,531,3.818
P00208,instagram,image,Wed,17,0,14,319,45576,1202,109,209,3.326
P00209,instagram,video,Sun,19,1,8,111,139986,6760,1084,1305,6.607
P00210,twitter,carousel,Fri,5,0,17,146,100084,1859,199,181,2.207
P00211,facebook,video,Mon,10,0,19,22,5712,113,21,23,2.733
P00212,linkedin,image,Sun,20,1,4,381,152496,3679,579,695,3.338
P00213,facebook,carousel,Fri,3,0,19,258,52361,556,59,106,1.421
P00214,twitter,carousel,Mon,19,0,0,392,190487,4817,673,739,3.217
P00215,instagram,carousel,Sat,6,1,2,229,168059,5548,945,483,4.115
P00216,instagram,image,Fri,13,0,0,67,38970,1006,124,100,3.676
P00217,twitter,image,Sun,12,1,7,138,120371,3315,502,572,3.372
P00218,twitter,text,Thu,16,0,18,178,72725,81,10,11,0.154
P00219,instagram,video,Thu,20,0,12,63,120637,4587,643,857,5.108
P00220,instagram,image,Wed,8,0,12,372,111622,2540,419,414,3.041
P00221,facebook,video,Wed,4,0,1,383,59535,955,71,91,2.138
P00222,facebook,carousel,Fri,10,0,10,227,130454,3678,431,400,3.463
P00223,instagram,text,Sat,14,1,7,235,52404,1307,110,272,3.532
P00224,linkedin,image,Sun,18,1,9,282,181515,7172,1204,511,5.416
P00225,instagram,text,Sat,18,1,5,273,189337,4704,741,812,3.533
P00226,linkedin,image,Fri,8,0,4,29,33598,900,91,163,3.282
P00227,instagram,video,Thu,22,0,19,214,145687,5144,350,367,4.166
P00228,instagram,video,Wed,1,0,11,311,185910,5152,919,498,3.469
P00229,facebook,image,Sat,2,1,8,323,25809,519,54,69,2.55
P00230,instagram,image,Wed,0,0,1,240,148056,3716,345,597,3.001
P00231,facebook,video,Tue,22,0,15,359,187572,5021,409,685,3.626
P00232,instagram,text,Sun,4,1,9,236,45407,916,139,72,2.841
P00233,twitter,video,Fri,14,0,7,156,116682,5274,520,426,5.821
P00234,linkedin,text,Wed,19,0,13,179,159670,4831,878,573,4.094
P00235,linkedin,carousel,Sun,18,1,2,277,67005,2101,324,225,4.085
P00236,instagram,video,Sun,22,1,10,355,47945,2214,145,207,6.01
P00237,instagram,carousel,Wed,1,0,17,95,79729,1323,189,237,2.219
P00238,instagram,image,Thu,9,0,9,120,67410,2616,248,178,5.02
P00239,facebook,image,Thu,12,0,0,262,145218,4117,280,723,3.745
P00240,instagram,carousel,Fri,16,0,4,306,74500,1917,299,380,3.589
P00241,instagram,carousel,Sun,14,1,1,162,75566,3811,324,519,6.076
P00242,instagram,image,Thu,13,0,10,259,188929,6762,1175,945,4.445
P00243,instagram,video,Sat,7,1,7,7,115959,5685,864,522,6.942
P00244,instagram,video,Fri,2,0,2,120,185907,5073,501,755,3.804
P00245,instagram,text,Sun,10,1,13,382,142244,3373,698,413,3.319
P00246,instagram,video,Wed,6,0,3,232,177098,3907,576,402,3.111
P00247,facebook,video,Wed,13,0,6,348,39477,1070,100,164,3.825
P00248,instagram,video,Wed,19,0,19,90,187667,5315,747,368,3.914
P00249,instagram,video,Sun,13,1,1,119,188876,7781,1373,730,4.981
P00250,facebook,carousel,Fri,13,0,4,390,8633,187,21,26,2.624
P00251,linkedin,text,Tue,1,0,6,399,71556,621,70,73,1.062
P00252,instagram,video,Mon,15,0,10,351,82951,2722,330,222,4.141
P00253,facebook,image,Thu,10,0,4,130,84165,2443,236,151,3.59
P00254,twitter,image,Sat,2,1,19,321,155791,194,16,18,0.154
P00255,facebook,carousel,Thu,5,0,0,186,139853,2956,383,372,2.536
P00256,twitter,carousel,Thu,18,0,18,338,42970,1053,181,134,3.025
P00257,linkedin,image,Sat,22,1,10,341,121952,5034,767,392,5.093
P00258,instagram,image,Thu,12,0,0,176,194938,6644,483,902,4.153
P00259,facebook,video,Sun,23,1,2,125,88303,3186,366,610,4.605
P00260,facebook,image,Fri,4,0,2,390,185678,68,5,10,0.05
P00261,twitter,carousel,Sat,7,1,5,182,130123,3431,389,495,3.7
P00262,facebook,image,Sat,22,1,6,175,185029,5907,905,869,4.185
P00263,instagram,image,Fri,4,0,12,267,180614,3784,419,731,2.935
P00264,facebook,text,Mon,15,0,6,374,3826,73,13,14,2.62
P00265,instagram,image,Wed,5,0,14,56,160156,3508,487,270,3.114
P00266,linkedin,image,Mon,7,0,5,393,38223,815,128,77,2.86
P00267,facebook,image,Thu,11,0,5,171,164939,5056,828,368,3.626
P00268,linkedin,image,Tue,8,0,5,15,161699,3013,471,507,2.462
P00269,linkedin,image,Thu,20,0,6,127,52052,1907,362,141,4.977
P00270,facebook,image,Wed,23,0,16,187,13710,258,44,47,2.47
P00271,facebook,image,Mon,12,0,4,272,84170,2282,327,159,3.639
P00272,linkedin,image,Mon,12,0,5,228,60943,2576,256,355,5.276
P00273,linkedin,video,Thu,1,0,19,58,110986,2658,267,259,3.012
P00274,linkedin,carousel,Mon,5,0,13,197,16862,281,55,39,2.365
P00275,instagram,video,Sat,0,1,3,96,9316,372,27,45,5.143
P00276,facebook,image,Sat,20,1,17,111,87709,2365,483,419,3.822
P00277,instagram,video,Fri,5,0,3,285,154073,4349,449,541,3.521
P00278,linkedin,text,Tue,8,0,3,322,63337,1187,175,130,2.23
P00279,facebook,text,Sat,20,1,8,66,65030,2270,225,334,4.174
P00280,facebook,image,Fri,17,0,13,242,33222,885,176,173,3.644
P00281,instagram,image,Wed,14,0,3,171,56877,1257,83,200,2.724
P00282,instagram,image,Mon,0,0,15,137,60105,1229,128,186,2.497
P00283,linkedin,image,Thu,13,0,3,286,52228,1879,310,224,4.337
P00284,instagram,video,Sat,13,1,15,103,69064,2566,269,486,5.028
P00285,instagram,video,Mon,7,0,1,307,57034,992,100,127,2.265
P00286,linkedin,image,Mon,17,0,9,163,136323,4478,854,874,4.48
P00287,linkedin,video,Wed,22,0,12,42,67933,2504,474,464,5.239
P00288,instagram,video,Thu,6,0,5,317,151074,3924,298,319,3.251
P00289,instagram,image,Thu,7,0,12,341,121162,2568,363,184,2.771
P00290,twitter,carousel,Wed,7,0,13,227,128276,3037,298,511,3.211
P00291,linkedin,image,Tue,20,0,13,290,116921,3560,308,510,3.682
P00292,facebook,text,Mon,1,0,7,63,184611,2078,299,296,1.454
P00293,instagram,image,Mon,21,0,15,139,51514,1881,138,327,4.301
P00294,instagram,carousel,Mon,18,0,14,143,196485,7686,910,981,4.776
P00295,instagram,text,Fri,11,0,6,306,41681,1250,114,128,3.613
P00296,linkedin,text,Sat,14,1,14,144,28076,582,97,76,2.54
P00297,instagram,carousel,Thu,21,0,18,292,165358,3409,502,252,2.88
P00298,instagram,carousel,Mon,18,0,16,126,179243,5655,570,860,4.445
P00299,linkedin,video,Wed,6,0,14,242,18998,378,64,63,2.376
P00300,twitter,carousel,Sun,1,1,15,87,120157,1846,339,129,2.131
P00301,linkedin,image,Tue,15,0,16,225,102808,2073,209,368,2.658
P00302,facebook,video,Thu,3,0,5,36,44412,1470,271,242,4.182
P00303,facebook,video,Thu,2,0,14,295,104351,892,94,74,1.167
P00304,facebook,text,Wed,23,0,3,16,137314,1882,203,345,1.868
P00305,instagram,video,Thu,11,0,7,399,115040,2857,329,469,3.225
P00306,facebook,video,Thu,15,0,18,336,104191,2136,188,281,2.718
P00307,facebook,video,Thu,5,0,5,233,177187,6250,926,581,4.401
P00308,facebook,image,Sat,2,1,16,364,45493,557,83,62,1.722
P00309,linkedin,image,Fri,1,0,8,324,124970,2439,440,351,2.524
P00310,twitter,video,Mon,8,0,4,61,63655,2499,255,257,5.406
P00311,instagram,video,Mon,0,0,1,298,194739,4852,411,506,3.15
P00312,instagram,image,Wed,10,0,10,154,50683,1265,151,252,3.48
P00313,instagram,video,Sun,7,1,9,343,174334,5387,477,908,4.235
P00314,instagram,video,Mon,12,0,10,346,126609,4226,745,637,4.068
P00315,instagram,image,Mon,14,0,0,382,43340,906,150,179,2.844
P00316,instagram,video,Fri,7,0,5,183,151858,6577,1052,410,5.343
P00317,linkedin,carousel,Thu,10,0,0,81,48616,1265,213,127,3.513
P00318,facebook,image,Tue,1,0,6,54,52832,1209,122,190,3.112
P00319,twitter,text,Tue,7,0,18,70,69282,1000,86,126,1.937
P00320,instagram,text,Fri,23,0,3,396,136505,2223,248,164,1.957
P00321,instagram,video,Thu,23,0,13,236,78607,2819,493,475,4.721
P00322,facebook,image,Fri,11,0,0,143,114042,2513,283,187,2.991
P00323,instagram,video,Tue,22,0,11,182,110822,4429,289,592,5.12
P00324,instagram,carousel,Thu,12,0,18,73,39727,1125,172,158,3.736
P00325,twitter,carousel,Sun,3,1,6,230,46886,1175,100,163,3.061
P00326,instagram,carousel,Wed,20,0,3,173,61710,2618,322,252,5.0
P00327,instagram,video,Wed,9,0,11,320,44857,840,56,56,2.405
P00328,facebook,video,Tue,14,0,5,13,183787,6090,800,1102,4.316
P00329,facebook,image,Fri,15,0,17,373,76587,688,82,131,1.195
P00330,facebook,carousel,Mon,7,0,16,28,81272,2023,330,235,2.943
P00331,instagram,image,Tue,17,0,13,169,134568,3219,509,217,3.097
P00332,linkedin,carousel,Fri,12,0,12,139,157721,4337,320,645,3.784
P00333,instagram,text,Mon,8,0,12,288,137781,2372,362,229,2.036
P00334,facebook,image,Sun,7,1,14,264,110459,2270,347,184,2.435
P00335,facebook,video,Wed,17,0,9,82,195235,7638,1161,668,5.111
P00336,linkedin,image,Wed,5,0,19,198,180018,525,100,47,0.388
P00337,instagram,carousel,Thu,2,0,6,216,40881,1138,185,118,3.47
P00338,facebook,image,Fri,21,0,0,188,32425,1152,101,109,4.312
P00339,instagram,text,Thu,7,0,13,13,78875,1609,183,278,2.634
P00340,instagram,image,Sun,15,1,13,75,167156,4038,458,536,3.223
P00341,instagram,text,Sun,17,1,19,203,192953,1371,185,171,0.954
P00342,linkedin,carousel,Tue,20,0,7,107,140674,4948,960,427,4.697
P00343,instagram,video,Fri,15,0,8,220,138156,4597,715,881,4.636
P00344,linkedin,carousel,Wed,16,0,11,69,47122,1483,148,101,3.853
P00345,instagram,carousel,Sun,20,1,7,295,118659,4967,1000,513,5.849
P00346,linkedin,text,Tue,22,0,15,79,37271,663,105,98,2.341
P00347,linkedin,image,Wed,1,0,8,261,108159,1865,173,272,2.089
P00348,instagram,video,Fri,17,0,15,335,39153,1326,245,227,4.451
P00349,instagram,image,Sat,4,1,8,146,15564,342,39,42,2.954
P00350,instagram,video,Mon,21,0,4,60,193474,9279,1120,933,5.694
P00351,linkedin,image,Thu,1,0,19,7,178728,1654,225,181,1.287
P00352,instagram,video,Wed,5,0,10,147,137221,4085,698,524,3.575
P00353,facebook,video,Fri,4,0,14,50,125288,3773,407,451,4.246
P00354,facebook,video,Thu,14,0,11,353,48379,1421,155,154,3.854
P00355,linkedin,video,Sun,0,1,7,389,114547,2350,343,153,2.581
P00356,facebook,carousel,Sun,0,1,19,392,149743,57,10,11,0.05
P00357,facebook,carousel,Fri,12,0,7,369,108130,2337,184,168,2.77
P00358,twitter,video,Fri,23,0,19,236,56746,865,84,91,2.087
P00359,instagram,video,Sun,12,1,8,133,78686,3447,636,624,5.579
P00360,linkedin,text,Tue,10,0,0,181,168273,2473,439,424,2.041
P00361,instagram,image,Sat,15,1,0,107,51305,1912,197,252,4.548
P00362,facebook,image,Sat,13,1,19,336,192299,1231,134,181,0.813
P00363,linkedin,image,Mon,9,0,10,177,151186,4625,581,358,3.961
P00364,facebook,carousel,Sun,14,1,7,157,178102,5077,841,938,4.025
P00365,facebook,video,Fri,0,0,16,277,102158,2078,285,201,2.625
P00366,instagram,carousel,Wed,5,0,12,152,45135,1059,172,197,2.99
P00367,facebook,carousel,Thu,16,0,13,145,7270,251,19,25,4.663
P00368,instagram,image,Thu,8,0,13,94,107216,3721,612,522,4.33
P00369,facebook,text,Sun,1,1,3,31,80119,1724,135,253,3.024
P00370,facebook,carousel,Sun,2,1,1,20,23179,498,94,44,2.935
P00371,instagram,image,Sat,20,1,14,164,185756,9737,653,1036,6.466
P00372,instagram,video,Fri,7,0,0,398,194068,3918,341,695,2.796
P00373,instagram,image,Mon,0,0,14,107,75091,1695,156,164,3.063
P00374,instagram,image,Sun,17,1,2,258,133775,3905,354,716,3.659
P00375,instagram,image,Mon,12,0,5,133,82939,2813,313,276,4.191
P00376,linkedin,text,Tue,10,0,14,124,99613,1150,188,183,1.632
P00377,facebook,video,Mon,21,0,12,69,124980,4680,906,728,5.208
P00378,instagram,video,Sun,7,1,15,227,83577,3200,427,405,4.992
P00379,facebook,carousel,Thu,13,0,12,265,160434,4866,637,713,3.844
